Contrato;ProcessoContrato;AssinaturaContrato;ObjetoContrato;FavorecidoContrato;CPF/CNPJContrato;SituaçãoContrato;ValorContrato
000256/2018;001067/2018;03/09/2018;CONTRATACAO DE EMPRESA PARA FORNECIMENTO DE MATERIAIS-EQUIPAMENTOS DIVERSOS PARA MANUTENCAO DAS ATIVIDADES DAS SECRETARIAS MUNICIPAIS DESTA PREFEITURA, POR UM PERIODO DE 12 (DOZE) MESES.;C L Costa Comercio e Servicos LTDA ME;17.884.676/0001-98;TERMINO DE PRAZO;140
000255/2018;001067/2018;03/09/2018;CONTRATACAO DE EMPRESA PARA FORNECIMENTO DE MATERIAIS-EQUIPAMENTOS DIVERSOS PARA MANUTENCAO DAS ATIVIDADES DAS SECRETARIAS MUNICIPAIS DESTA PREFEITURA, POR UM PERIODO DE 12 (DOZE) MESES.;MAIS SOLUCOES COMERCIAIS E SERVICOS EIRELI ME;36.309.300/0001-02;TERMINO DE PRAZO;525,5
000254/2018;001893/2017;03/09/2018;AQUISICAO DE ESTANTES, ARMARIOS E EQUIPAMENTOS PARA ATENDIMENTO AS NECESSIDADES DAS SECRETARIAS MUNICIPAIS POR UM PERIODO DE 12 MESES;Campos e Gomes Ltda ME;17.010.855/0001-04;TERMINO DE PRAZO;390
000253/2018;001893/2017;03/09/2018;AQUISICAO DE ESTANTES, ARMARIOS E EQUIPAMENTOS PARA ATENDIMENTO AS NECESSIDADES DAS SECRETARIAS MUNICIPAIS POR UM PERIODO DE 12 MESES;POLI COMERCIAL LTDA EPP;07.255.426/0001-35;TERMINO DE PRAZO;563
000252/2018;003152/2017;03/09/2018;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA PRESTACAO DE SERVICO DE MANUTENCAO PREVENTIVA E CORRETIVA DE PARTE ELETRICA EM VEICULOS PERTENCENTES A ESTA MUNICIPALIDADE PELO PERIODO DE 12 MESES.;Johny L. Goncalves - ME;07.714.364/0001-82;TERMINO DE PRAZO;1680
000251/2018;005609/2017;03/09/2018;AQUISICAO ESTIMADA DE COMBUSTIVEIS DIVERSOS E ADITIVO ARLA 32 PARA ATENDIMENTO AS ATIVIDADES REALIZADAS PELA SECRETARIA MUNICIPAL POR UM PERIODO DE 12 MESES.;Posto Sete Irmaos Ltda ME;03.619.662/0001-32;TERMINO DE PRAZO;2315
000250/2018;005522/2017;30/08/2018;AQUISICAO DE EQUIPAMENTOS HOSPITALARES PARA SEREM INSTALADOS NOS  POSTOS DE SAUDE DESTE MUNICIPIO, PARA MELHORIA DOS SERVICOS PRESTADOS A POPULACAO, NO PERIODO DE 12 MESES.;D e D Empreendimentos Comerciais Ltda;07.994.516/0001-48;TERMINO DE PRAZO;40769,6
000249/2018;005522/2017;30/08/2018;AQUISICAO DE EQUIPAMENTOS HOSPITALARES PARA SEREM INSTALADOS NOS  POSTOS DE SAUDE DESTE MUNICIPIO, PARA MELHORIA DOS SERVICOS PRESTADOS A POPULACAO, NO PERIODO DE 12 MESES.;Max-Medical Com. de Prod. Med. Hospitares Ltda ME;10.460.674/0001-22;TERMINO DE PRAZO;28160
000248/2018;005522/2017;30/08/2018;AQUISICAO DE EQUIPAMENTOS HOSPITALARES PARA SEREM INSTALADOS NOS  POSTOS DE SAUDE DESTE MUNICIPIO, PARA MELHORIA DOS SERVICOS PRESTADOS A POPULACAO, NO PERIODO DE 12 MESES.;Holy Med Com. de Prod. Medicos Hospitalares Ltda;10.696.551/0001-95;TERMINO DE PRAZO;15153,1
000247/2018;005522/2017;30/08/2018;AQUISICAO DE EQUIPAMENTOS HOSPITALARES PARA SEREM INSTALADOS NOS  POSTOS DE SAUDE DESTE MUNICIPIO, PARA MELHORIA DOS SERVICOS PRESTADOS A POPULACAO, NO PERIODO DE 12 MESES.;Fenixmed Comercial Ltda;14.595.915/0001-00;TERMINO DE PRAZO;5485
000246/2018;005522/2017;30/08/2018;AQUISICAO DE EQUIPAMENTOS HOSPITALARES PARA SEREM INSTALADOS NOS  POSTOS DE SAUDE DESTE MUNICIPIO, PARA MELHORIA DOS SERVICOS PRESTADOS A POPULACAO, NO PERIODO DE 12 MESES.;S2 Saude Ltda Me;16.740.031/0001-19;TERMINO DE PRAZO;24949
000245/2018;003902/2018;27/08/2018;Contratacao de show musical e artistico com Leandro Andrade e Banda, para apresentacao no dia 31-08-2018, nas festividades da IX Arraial da Felicidade das Escolas Municipais, a ser realizada entre os dias 31-08-2018 a 01-09-2018, no parque de exposicoes L;Leandro de Oliveira Andrade 10351669760;24.749.336/0001-10;TERMINO DE PRAZO;3000
000244/2018;004135/2018;27/08/2018;CONTRATACAO DE EMPRESA FORNECEDORA DE PECAS, ACESSORIOS E MATERIAIS ORIGINAIS OU PARALELAS DE 1º LINHA, PARA OS VEICULOS PERTENCENTES A FROTA DESTE MUNICIPIO.;Antonio Auto Pecas Ltda;27.340.074/0005-57;TERMINO DE PRAZO;10000
000243/2018;004134/2018;27/08/2018;CONTRATACAO DE EMPRESA FORNECEDORA DE PECAS, ACESSORIOS E MATERIAIS ORIGINAIS OU PARALELAS DE 1º LINHA, PARA OS VEICULOS PERTENCENTES A FROTA DESTE MUNICIPIO.;Auto Mecanica Andrade Ltda-ME;14.583.473/0001-73;TERMINO DE PRAZO;5000
000242/2018;001203/2018;27/08/2018;AQUISICAO DE CADEIRAS GIRATORIAS, ATRAVES DE ADESAO DA ATA DE REGISTRO DE PRECOS 034-2017, GERENCIADA PELA UNIVERSIDADE FEDERAL DO ESPIRITO SANTO, POR VIRTUDE DE ALGUNS ITENS TEREM SIDO FRACASSADOS NO PREGAO PRESENCIAL N° 76-2017, conforme especificacoes;M. S. Comercio Eireli - ME;17.537.529/0001-41;TERMINO DE PRAZO;21405
000241/2018;001203/2018;27/08/2018;Aquisicao de cadeira giratorias, atraves de adesao da Ata de Registro de Precos 034-2017, gerenciada pela Universidade Federal do Espirito Santo, por virtude de alguns itens terem sido fracassados no Pregao Presencial n° 76-2017.;M. S. Comercio Eireli - ME;17.537.529/0001-41;TERMINO DE PRAZO;15192
000240/2018;003665/2018;27/08/2018;Contratacao de empresa para prestacao de seguro em veiculo Citroen Aircross StartMT placa OYK-7796, pertencente a esta Secretaria, recebido por intermedio do Ministerio dos Direitos Humanos, considerando Termo de doacao N°25853-2018. Informamos que o Muni;Gente Seguradora S/A;90.180.605/0001-02;Vigente;1550
000239/2018;005609/2017;24/08/2018;AQUISICAO ESTIMADA DE COMBUSTIVEIS DIVERSOS E ADITIVO ARLA 32 PARA ATENDIMENTO AS ATIVIDADES REALIZADAS PELA SECRETARIA MUNICIPAL POR UM PERIODO DE 12 MESES.;Posto Sete Irmaos Ltda ME;03.619.662/0001-32;TERMINO DE PRAZO;25029,2
000238/2018;003744/2018;24/08/2018;Contratacao de show musical e artistico com o grupo musical Curtisom, para apresentacao nas festividades da IX Arraial da Felicidade das Escolas Municipais, no periodo de 31-08 a 01-09 no parque de exposicoes Lourival Lougon Moulin.;Eliel de Vasconcellos Gallo 03093429706;28.648.701/0001-50;TERMINO DE PRAZO;1600
000237/2018;002477/2018;23/08/2018;Aquisicao de generos alimenticios da Agricultura Familiar, para atender as necessidades da alimentacao escolar, em cumprimento a Lei n°11.947 de 16 de junho de 2009 e resolucao CD-FNDE n° 26 de 17 de junho-2013 e 25/2012, atualizada pela resolucao CD-FNDE;Associacao Prod. Rurais de Celina - Aprumuceli;26.382.719/0001-28;TERMINO DE PRAZO;2016
000236/2018;002477/2018;23/08/2018;Aquisicao de generos alimenticios da Agricultura Familiar, para atender as necessidades da alimentacao escolar, em cumprimento a Lei n°11.947 de 16 de junho de 2009 e resolucao CD-FNDE n° 26 de 17 de junho-2013 e 25/2012, atualizada pela resolucao CD-FNDE;Grupo Formal - Asss.Produtores Rurais de Agua Limp;11.084.868/0001-33;TERMINO DE PRAZO;2016
000235/2018;002477/2018;23/08/2018;Aquisicao de generos alimenticios da Agricultura Familiar, para atender as necessidades da alimentacao escolar, em cumprimento a Lei n°11.947 de 16 de junho de 2009 e resolucao CD-FNDE n° 26 de 17 de junho-2013 e 25/2012, atualizada pela resolucao CD-FNDE;Marcos Favaris Pavani;***.909.557-**;TERMINO DE PRAZO;2205,03
000234/2018;002477/2018;23/08/2018;Aquisicao de generos alimenticios da Agricultura Familiar, para atender as necessidades da alimentacao escolar, em cumprimento a Lei n°11.947 de 16 de junho de 2009 e resolucao CD-FNDE n° 26 de 17 de junho-2013 e 25/2012, atualizada pela resolucao CD-FNDE;Derli de Oliveira Azarias;***.804.087-**;TERMINO DE PRAZO;1000,04
000233/2018;002477/2018;23/08/2018;Aquisicao de generos alimenticios da Agricultura Familiar, para atender as necessidades da alimentacao escolar, em cumprimento a Lei n°11.947 de 16 de junho de 2009 e resolucao CD-FNDE n° 26 de 17 de junho-2013 e 25/2012, atualizada pela resolucao CD-FNDE;Augusto Josino de Almeida Pereira;***.550.677-**;TERMINO DE PRAZO;968,44
000232/2018;002477/2018;23/08/2018;Aquisicao de generos alimenticios da Agricultura Familiar, para atender as necessidades da alimentacao escolar, em cumprimento a Lei n°11.947 de 16 de junho de 2009 e resolucao CD-FNDE n° 26 de 17 de junho-2013 e 25/2012, atualizada pela resolucao CD-FNDE;Jonas dos Santos Oliveira Catem;***.279.077-**;TERMINO DE PRAZO;8992,74
000231/2018;002477/2018;23/08/2018;Aquisicao de generos alimenticios da Agricultura Familiar, para atender as necessidades da alimentacao escolar, em cumprimento a Lei n°11.947 de 16 de junho de 2009 e resolucao CD-FNDE n° 26 de 17 de junho-2013 e 25/2012, atualizada pela resolucao CD-FNDE;Maria Luiza Catein da Silva;***.953.547-**;TERMINO DE PRAZO;2228,74
000230/2018;002477/2018;23/08/2018;Aquisicao de generos alimenticios da Agricultura Familiar, para atender as necessidades da alimentacao escolar, em cumprimento a Lei n°11.947 de 16 de junho de 2009 e resolucao CD-FNDE n° 26 de 17 de junho-2013 e 25/2012, atualizada pela resolucao CD-FNDE;Marcelo Araujo Prata;***.849.597-**;TERMINO DE PRAZO;2205,03
000229/2018;002477/2018;23/08/2018;Aquisicao de generos alimenticios da Agricultura Familiar, para atender as necessidades da alimentacao escolar, em cumprimento a Lei n°11.947 de 16 de junho de 2009 e resolucao CD-FNDE n° 26 de 17 de junho-2013 e 25/2012, atualizada pela resolucao CD-FNDE;Jonas Silva de Oliveira;***.442.277-**;TERMINO DE PRAZO;2125
000228/2018;002477/2018;23/08/2018;Aquisicao de generos alimenticios da Agricultura Familiar, para atender as necessidades da alimentacao escolar, em cumprimento a Lei n°11.947 de 16 de junho de 2009 e resolucao CD-FNDE n° 26 de 17 de junho-2013 e 25/2012, atualizada pela resolucao CD-FNDE;Gerci Zucoloto;***.400.577-**;TERMINO DE PRAZO;3604,19
000227/2018;002477/2018;23/08/2018;Aquisicao de generos alimenticios da Agricultura Familiar, para atender as necessidades da alimentacao escolar, em cumprimento a Lei n°11.947 de 16 de junho de 2009 e resolucao CD-FNDE n° 26 de 17 de junho-2013 e 25/2012, atualizada pela resolucao CD-FNDE;Jose Carlos de Oliveira Silva;***.375.847-**;TERMINO DE PRAZO;2833,41
000226/2018;002477/2018;23/08/2018;Aquisicao de generos alimenticios da Agricultura Familiar, para atender as necessidades da alimentacao escolar, em cumprimento a Lei n°11.947 de 16 de junho de 2009 e resolucao CD-FNDE n° 26 de 17 de junho-2013 e 25/2012, atualizada pela resolucao CD-FNDE;Ailton de Souza Jorge;***.759.797-**;TERMINO DE PRAZO;8626,18
000225/2018;002793/2017;21/08/2018;AQUISICAO ESTIMADA DE GENEROS ALIMENTICIOS PERECIVEIS PARA ATENDER AS SECRETARIAS MUNICIPAIS E SEUS RESPECTIVOS SETORES.;Premium Comercio e Servicos Ltda EPP;97.530.106/0001-39;TERMINO DE PRAZO;1590,16
000224/2018;002793/2017;21/08/2018;AQUISICAO ESTIMADA DE GENEROS ALIMENTICIOS PERECIVEIS PARA ATENDER AS SECRETARIAS MUNICIPAIS E SEUS RESPECTIVOS SETORES.;X Alimentos LTDA EPP;14.030.015/0001-07;TERMINO DE PRAZO;4538,9
000223/2018;002797/2017;21/08/2018;AQUISICAO ESTIMADA DE GENEROS ALIMENTICIOS PERECIVEIS (CARNES), VISANDO ATENDER AS NECESSIDADES DAS SECRETARIAS MUNICIPAIS, NO PERIODO DE 12 MESES.;X Alimentos LTDA EPP;14.030.015/0001-07;TERMINO DE PRAZO;2866,5
000222/2018;002797/2017;21/08/2018;AQUISICAO ESTIMADA DE GENEROS ALIMENTICIOS PERECIVEIS (CARNES), VISANDO ATENDER AS NECESSIDADES DAS SECRETARIAS MUNICIPAIS, NO PERIODO DE 12 MESES.;Distribuidora de Hortifrutigrangeiro Berger LtdaEP;01.027.474/0001-90;TERMINO DE PRAZO;2718
000221/2018;002305/2018;20/08/2018;CONTRATACAO DE EMPRESA PARA CONFECCAO E MONTAGEM DE COBERTURA METALICA, COM INSTALACAO ELETRICA, EM AREA ANEXA AO CENTRO DE REFERENCIA DE ASSISTENCIA SOCIAL (CRAS), DESTE MUNICIPIO, CONSIDERANDO QUE O PREDIO NAO CONSEGUE ACOMODAR TODAS AS ATIVIDADES DESEN;Treze Material de Const. e Incorporacao Ltda;01.070.171/0001-50;TERMINO DE PRAZO;24794,99
000220/2018;003152/2017;14/08/2018;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA PRESTACAO DE SERVICO DE MANUTENCAO PREVENTIVA E CORRETIVA DE PARTE ELETRICA EM VEICULOS PERTENCENTES A ESTA MUNICIPALIDADE PELO PERIODO DE 12 MESES.;Johny L. Goncalves - ME;07.714.364/0001-82;TERMINO DE PRAZO;7745
000219/2018;002784/2017;14/08/2018;AQUISICAO ESTIMADA DE GENEROS ALIMENTICIOS NAO PERECIVEIS, VISANDO ATENDER AS NECESSIDADES DAS SECRETARIAS MUNICIPAIS, NO PERIODO DE 12 MESES.;X Alimentos LTDA EPP;14.030.015/0001-07;TERMINO DE PRAZO;2356,8
000218/2018;002784/2017;14/08/2018;AQUISICAO ESTIMADA DE GENEROS ALIMENTICIOS NAO PERECIVEIS, VISANDO ATENDER AS NECESSIDADES DAS SECRETARIAS MUNICIPAIS, NO PERIODO DE 12 MESES.;Distribuidora de Hortifrutigrangeiro Berger LtdaEP;01.027.474/0001-90;TERMINO DE PRAZO;6797,25
000217/2018;002784/2017;14/08/2018;AQUISICAO ESTIMADA DE GENEROS ALIMENTICIOS NAO PERECIVEIS, VISANDO ATENDER AS NECESSIDADES DAS SECRETARIAS MUNICIPAIS, NO PERIODO DE 12 MESES.;Premium Comercio e Servicos Ltda EPP;97.530.106/0001-39;TERMINO DE PRAZO;3134,56
000216/2018;001893/2017;13/08/2018;AQUISICAO DE ESTANTES, ARMARIOS E EQUIPAMENTOS PARA ATENDIMENTO AS NECESSIDADES DAS SECRETARIAS MUNICIPAIS POR UM PERIODO DE 12 MESES;Campos e Gomes Ltda ME;17.010.855/0001-04;TERMINO DE PRAZO;2145
000215/2018;001893/2017;13/08/2018;AQUISICAO DE ESTANTES, ARMARIOS E EQUIPAMENTOS PARA ATENDIMENTO AS NECESSIDADES DAS SECRETARIAS MUNICIPAIS POR UM PERIODO DE 12 MESES;POLI COMERCIAL LTDA EPP;07.255.426/0001-35;TERMINO DE PRAZO;2252
000214/2018;001893/2017;13/08/2018;AQUISICAO DE ESTANTES, ARMARIOS E EQUIPAMENTOS PARA ATENDIMENTO AS NECESSIDADES DAS SECRETARIAS MUNICIPAIS POR UM PERIODO DE 12 MESES;Cereais Bolelli Ltda;39.273.214/0001-77;TERMINO DE PRAZO;1340
000213/2018;001893/2017;13/08/2018;AQUISICAO DE ESTANTES, ARMARIOS E EQUIPAMENTOS PARA ATENDIMENTO AS NECESSIDADES DAS SECRETARIAS MUNICIPAIS POR UM PERIODO DE 12 MESES;JB COMERCIO E SERVICOS EIRELLI EPP;11.923.577/0001-91;TERMINO DE PRAZO;6717,5
000212/2018;001067/2018;13/08/2018;CONTRATACAO DE EMPRESA PARA FORNECIMENTO DE MATERIAIS-EQUIPAMENTOS DIVERSOS PARA MANUTENCAO DAS ATIVIDADES DAS SECRETARIAS MUNICIPAIS DESTA PREFEITURA, POR UM PERIODO DE 12 (DOZE) MESES.;MAIS SOLUCOES COMERCIAIS E SERVICOS EIRELI ME;36.309.300/0001-02;TERMINO DE PRAZO;2102
000211/2018;001067/2018;13/08/2018;CONTRATACAO DE EMPRESA PARA FORNECIMENTO DE MATERIAIS-EQUIPAMENTOS DIVERSOS PARA MANUTENCAO DAS ATIVIDADES DAS SECRETARIAS MUNICIPAIS DESTA PREFEITURA, POR UM PERIODO DE 12 (DOZE) MESES.;Campos e Gomes Ltda ME;17.010.855/0001-04;TERMINO DE PRAZO;6405
000210/2018;001067/2018;13/08/2018;CONTRATACAO DE EMPRESA PARA FORNECIMENTO DE MATERIAIS-EQUIPAMENTOS DIVERSOS PARA MANUTENCAO DAS ATIVIDADES DAS SECRETARIAS MUNICIPAIS DESTA PREFEITURA, POR UM PERIODO DE 12 (DOZE) MESES.;Cazele Sport Ltda EPP;30.579.577/0001-60;TERMINO DE PRAZO;4780
000209/2018;005609/2017;10/08/2018;AQUISICAO ESTIMADA DE COMBUSTIVEIS DIVERSOS E ADITIVO ARLA 32 PARA ATENDIMENTO AS ATIVIDADES REALIZADAS PELA SECRETARIA MUNICIPAL POR UM PERIODO DE 12 MESES.;Posto Sete Irmaos Ltda ME;03.619.662/0001-32;TERMINO DE PRAZO;25350
000208/2018;001930/2018;09/08/2018;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA REALIZACAO DE SERVICOS DE PAVIMENTACAO DE AREA COBERTA DO BARRACAO DA SECRETARIA MUNICIPAL DE DESENVOLVIMENTO URBANO, OBRAS PUBLICAS E TRANSPORTES, EM CUMPRIMENTO AO TERMO DE AJUSTES DE CONDUTA (TAC) FIRMADO ENTRE;HIPER CONSTRUTORA LTDA - ME;17.078.216/0001-72;TERMINO DE PRAZO;40749,8
000207/2018;003677/2018;08/08/2018;Adesao a Ata de Registro de Precos n°44-2017, da Secretaria de Estado da Agricultura, Abastecimento, Aquicultura e Pesca, para aquisicao de uma Retroescavadeira Hidraulica nova, tracao 4x4, cabine fechada com ar condicionado. Contrato de repasse n° 844117;Valence Maquinas e Equipamentos Ltda;08.250.241/0001-09;TERMINO DE PRAZO;180936
000206/2018;002582/2017;07/08/2018;LICITACAO PARA AQUISICAO ESTIMADA DE GENEROS ALIMENTICIOS PARA CONFECCAO DE LANCHES, VISANDO ATENDER AS NECESSIDADES DAS SECRETARIAS MUNICIPAIS, NO PERIODO DE 12 MESES.;Premium Comercio e Servicos Ltda EPP;97.530.106/0001-39;TERMINO DE PRAZO;24359,9
000205/2018;005522/2017;06/08/2018;AQUISICAO DE EQUIPAMENTOS HOSPITALARES PARA SEREM INSTALADOS NOS  POSTOS DE SAUDE DESTE MUNICIPIO, PARA MELHORIA DOS SERVICOS PRESTADOS A POPULACAO, NO PERIODO DE 12 MESES.;Prime Materiais  Medicos Hospitalares Ltda- ME;12.082.502/0001-98;TERMINO DE PRAZO;30302,24
000204/2018;005202/2017;01/08/2018;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA PRESTACAO DE SERVICO DE INSTALACAO DE AR CONDICIONADO PARA ATENDER AS SECRETARIAS DESTE MUNICIPIO POR UM PERIODO DE 12 MESES.;Maria da penha carari da silva 06857090785;14.120.020/0001-00;TERMINO DE PRAZO;3055
000203/2018;003734/2018;31/07/2018;Adesao a Ata de Registro de Precos n°17-2017,  referente ao Pregao n°09-2017 da Prefeitura Municipal de Anchieta - ES, objetivando a contratacao de empresa especializada em solucao continuada de impressao, copia e digitalizacao em impressora multifunciona;ATO SOLUCOES EM IMPRESSAO LTDA-ME;06.229.857/0001-64;TERMINO DE PRAZO;14324,4
000202/2018;003707/2018;26/07/2018;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA PRESTACAO DE SERVICO DE SEGURO NOS VEICULOS DA FROTA MUNICIPAL, CONSIDERANDO AQUISICOES DE VEICULOS NO FINAL DO EXERCICIO DE 2017.;Gente Seguradora S/A;90.180.605/0001-02;Vigente;1710
000201/2018;003550/2018;23/07/2018;CONTRATACAO DE EMPRESA PARA FORNECIMENTO DE MATERIAIS-EQUIPAMENTOS DIVERSOS PARA MANUTENCAO DAS ATIVIDADES DAS SECRETARIAS MUNICIPAIS DESTA PREFEITURA.;C L Costa Comercio e Servicos LTDA ME;17.884.676/0001-98;TERMINO DE PRAZO;11741
000200/2018;003565/2018;18/07/2018;AQUISICAO ESTIMADA DE COMBUSTIVEIS DIVERSOS E ADITIVO ARLA 32 PARA ATENDIMENTO AS ATIVIDADES REALIZADAS PELA SECRETARIA MUNICIPAL, conforme especificacoes contidas no Edital de Pregao Presencial nº 000001/2018;Posto Sete Irmaos Ltda ME;03.619.662/0001-32;TERMINO DE PRAZO;8980
000199/2018;003085/2018;12/07/2018;AQUISICAO ESTIMADA DE COMBUSTIVEIS DIVERSOS E ADITIVO ARLA 32 PARA ATENDIMENTO AS ATIVIDADES REALIZADAS PELA SECRETARIA MUNICIPAL.;Posto Sete Irmaos Ltda ME;03.619.662/0001-32;TERMINO DE PRAZO;33675
000198/2018;001211/2018;09/07/2018;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA CONFECCAO E INSTALACAO DE GRADES DE FERRO DE TAMANHOS DIVERSOS NA UNIDADE DE SAUDE LOCALIZADA NO BAIRRO SANTA CLARA DESTE MUNICIPIO;Distribuidora e Metalugica Bicao EIRELI;07.149.955/0001-54;TERMINO DE PRAZO;7915,5
000197/2018;000872/2018;06/07/2018;Contratacao de empresa especializada para a prestacao de servicos de guincho e prancha truck para remocao dos veiculos e maquinas pertencentes a esta Prefeitura para o parque de exposicoes Lourival Lougon Moulin, considerando os preparativos para realizac;Auto Socorro Passabon Ltda -ME;09.647.018/0001-54;TERMINO DE PRAZO;6156
000196/2018;001891/2018;03/07/2018;Contratacao de empresa para aquisicao de Biblioteca digital, contendo legislacao, doutrina, jurisprudencia e outras informacoes juridicas para consulta online, para as atividades da Procuradoria deste Municipio.;Editora Plenum Ltda;00.188.874/0001-14;Vigente;1800
000195/2018;002549/2018;29/06/2018;Contratacao de empresa para prestacao de servicos de seguro no veiculo Ford Ka SE que foi repassado a esta Secretaria, pelo governo do Estado, conforme Termo de Cooperacao Tecnica n°019/2018 firmado entre o Governo do Espirito Santo por meio da Secretaria;Porto Seguro Cia de Seguros Gerais;61.198.164/0001-60;TERMINO DE PRAZO;1881,58
000194/2018;001647/2018;29/06/2018;Aquisicao de materiais, incluindo instalacao dos mesmos, sendo camaras de purificacao, valvulas, eletrobombas, para substituicao nos bebedores e purificadores de agua das escolas de educacao infantil e fundamental, bem como da Secretaria de Educacao deste;Acquasul Distribuidora;07.799.527/0004-10;TERMINO DE PRAZO;7755
000193/2018;000486/2018;29/06/2018;CONTRATACAO DE EMPRESA PARA EXECUTAR OBRA DE ADEQUACAO DO ANTIGO PREDIO DA ESTACAO FERROVIARIA, LOCALIZADO NA SEDE DO MUNICIPIO DE JERONIMO MONTEIRO-ES, PARA INSTALACAO DE MUSEU, BIBLIOTECA MUNICIPAL E ARQUIVO MUNICIPAL, CONFORME CONTRATO DE REPASSE OGU N;Treze Material de Const. e Incorporacao Ltda;01.070.171/0001-50;Vigente;283615,25
000192/2018;003241/2018;29/06/2018;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA PRESTACAO DE SERVICO DE SEGURO NOS VEICULOS DA FROTA MUNICIPAL, CONSIDERANDO AQUISICOES DE VEICULOS NO FINAL DO EXERCICIO DE 2017;Gente Seguradora S/A;90.180.605/0001-02;Vigente;4000
000191/2018;003190/2018;29/06/2018;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA PRESTACAO DE SERVICO DE TRANSPORTE DE PESSOAS, PARA OS DIVERSOS ATENDIMENTOS DAS SECRETARIAS.;Locadora de Veiculos Mello's Ltda;09.196.264/0001-37;TERMINO DE PRAZO;1634
000190/2018;003184/2018;28/06/2018;AQUISICAO DE MATERIAIS ELETRICOS A SEREM UTILIZADOS NA MANUTENCAO DAS DEPENDENCIAS DAS SECRETARIAS MUNICIPAIS.;J. A. Galito ME;32.424.194/0001-49;TERMINO DE PRAZO;697,9
000189/2018;003185/2018;28/06/2018;AQUISICAO DE MATERIAIS ELETRICOS A SEREM UTILIZADOS NA MANUTENCAO DAS DEPENDENCIAS DAS SECRETARIAS MUNICIPAIS.;Matel Materiais Eletricos Eirelli Me;00.309.988/0001-75;TERMINO DE PRAZO;1783,25
000188/2018;003183/2018;28/06/2018;AQUISICAO DE MATERIAIS ELETRICOS A SEREM UTILIZADOS NA MANUTENCAO DAS DEPENDENCIAS DAS SECRETARIAS MUNICIPAIS.;J C PERIN MATERIAIS DE CONSTRUCAO EIRELI;39.323.860/0001-00;TERMINO DE PRAZO;1411,11
000187/2018;003176/2018;28/06/2018;AQUISICAO DE MATERIAIS ELETRICOS A SEREM UTILIZADOS NA MANUTENCAO DAS DEPENDENCIAS DAS SECRETARIAS MUNICIPAIS;FERRAGENS MIMOSO EIRELI-ME;11.181.135/0001-17;TERMINO DE PRAZO;2241,61
000186/2018;003123/2018;28/06/2018;AQUISICAO ESTIMADA DE MATERIAL DE CONSTRUCAO.;Treze Material de Const. e Incorporacao Ltda;01.070.171/0001-50;TERMINO DE PRAZO;9576,45
000185/2018;003121/2018;28/06/2018;AQUISICAO ESTIMADA DE MATERIAL DE CONSTRUCAO.;BAHIENSE MCS LTDA - EPP;31.497.043/0001-58;TERMINO DE PRAZO;5160,3
000184/2018;003122/2018;28/06/2018;AQUISICAO ESTIMADA DE MATERIAL DE CONSTRUCAO.;Mercantil Mamut Eireli EPP;00.293.558/0001-02;TERMINO DE PRAZO;956,5
000183/2018;003181/2018;28/06/2018;Aquisicao estimada de material de construcao.;J C PERIN MATERIAIS DE CONSTRUCAO EIRELI;39.323.860/0001-00;TERMINO DE PRAZO;1177,5
000181/2018;002289/2018;15/06/2018;CONTRATACAO DE EMPRESA ESPECIALIZADA EM ADMINISTRACAO E FORNECIMENTO DE AUXILIO ALIMENTACAO ATRAVES DE CARTOES ELETRONICOS MAGNETICOS COM SENHA, DESTINADOS A ATENDER OS SERVIDORES DESTA MUNICIPALIDADE DURANTE O EXERCICIO, CONFORME LEGISLACAO APLICAVEL.;Policard Systems e Servicos S.A;00.904.951/0001-95;Vigente;499287,36
000180/2018;001933/2018;13/06/2018;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA PRESTACAO DE SERVICOS REFERENTES A MANUTENCAO DA ILUMINACAO PUBLICA EM TODO O MUNICIPIO DE JERONIMO MONTEIRO COM FORNECIMENTO DE MATERIAIS.;Cristal Eletrica EIRELI EPP;10.526.290/0001-65;Vigente;126000
000179/2018;003018/2018;12/06/2018;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA LOCACAO DE PALCO, SOM E ILUMINACAO, VISANDO ATENDER AS FESTAS E EVENTOS PROMOVIDOS POR ESTA MUNICIPALIDADE.;Rogerio M Cunha- ME;39.827.134/0001-16;TERMINO DE PRAZO;2860
000178/2018;002994/2018;12/06/2018;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA PRESTACAO DE SERVICO DE MANUTENCAO PREVENTIVA E CORRETIVA DE PARTE ELETRICA EM VEICULOS PERTENCENTES A ESTA MUNICIPALIDADE.;Johny L. Goncalves - ME;07.714.364/0001-82;TERMINO DE PRAZO;8202
