NúmeroDispensa;ModalidadeDispensa;ProcessoDispensa;AberturaDispensa;ObjetoDispensa;Base LegalDispensa;SituaçãoDispensa;ValorDispensa
000054/2019;Dispensa;000844/2019;25/03/2019;Contratacao de empresa para prestacao de servico de revisao de 20.000 km com troca de pecas no veiculo Van Mercedes Bens Sprinter, ano-modelo   18-19, placa QRB-9936, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;1469,84
000053/2019;Dispensa;001295/2019;25/03/2019;Aquisicao de graxa lubrificante para lubrificacao das maquinas pertencentes a Secretaria de Desenvolvimento Rural Sustentavel.;Dispensa, Artigo 24, Inciso IV;Concluida;3998
000050/2019;Dispensa;005493/2018;18/03/2019;Revisao programada de 30.000km de veiculo Renault Logan placa PPL-8610, conforme manual e termo de garantia do referido veiculo.;Dispensa, Artigo 24, Inciso XVII;Concluida;1718,41
000049/2019;Dispensa;005492/2018;18/03/2019;Revisao programada de 40.000km de veiculo Renault Logan placa PPL-8611, conforme manual e termo de garantia do referido veiculo.;Dispensa, Artigo 24, Inciso XVII;Concluida;1875,2
000047/2019;Dispensa;000792/2019;13/03/2019;Contratacao de empresa para prestacao de servico de revisao de 50.000 km com troca de pecas, no veiculo Renault Sandero Expression 1.6, ano 2017, placa PPL-4127, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;1204
000046/2019;Dispensa;000793/2019;12/03/2019;Contratacao de empresa para prestacao de servico de revisao de 50.000 km com troca de pecas, no veiculo Renault Logan Expression 1.6, ano 2018, placa PPP-8611, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;1204
000045/2019;Dispensa;000794/2019;12/03/2019;Contratacao de empresa para prestacao de servico de revisao de 40.000 km com troca de pecas, no veiculo Renault Logan  Expression 1.6, ano 2018, placa PPP-8610, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;1535,2
000044/2019;Dispensa;000874/2019;03/04/2019;Contratacao de empresa para aquisicao de ripas de eucalipto, visando construcao de bancadas a serem instaladas em locais diversos deste municipio, objetivando a deposicao dos latoes de lixo de 200 litros.;Dispensa, Artigo 24, Inciso II;Concluida;700
000044/2019;Compra Direta;002089/2019;05/06/2019;Aquisicao de 30 latoes de plasticos, para que seja feita a melhor acomodacao dos lixos domomesticos facilitando assim a coleta do mesmo.;Dispensa, Artigo 24, Inciso II;Concluida;2610
000043/2019;Compra Direta;001985/2019;05/06/2019;Contratacao de empresa para prestacao de servicos de locacao de painel publicitario (telao) e elaboracao de video institucional turistico do Municipio, para fins de utilizacao dos mesmos durante as festividades do Municipio, com data prevista para setembro do corrente ano. Ressaltamos que os referidos itens constavam na relacao do pregao presencial n°10-2019, onde os mesmos se sagraram desclassificados, conforme relatorio em anexo.;Dispensa, Artigo 24, Inciso II;Concluida;4700
000043/2019;Dispensa;000252/2019;29/05/2019;Aquisicao de bandeiras do Brasil, do Estado do Espirito Santo e do Municipio de Jeronimo Monteiro, com mastros, para instalacao na Sede desta Prefeitura e Secretarias onde ocorrem solenidades publicas e eventos do municipio.;Dispensa, Artigo 24, Inciso II;Concluida;9570
000042/2019;Compra Direta;001809/2019;20/05/2019;Aquisicao de aparelho celular para atendimento ao Conselho Tutelar deste municipio, para garantir agilidade e eficacia no atendimento prestados a populacao deste municipio.;Dispensa, Artigo 24, Inciso II;Concluida;99
000041/2019;Dispensa;000762/2019;13/03/2019;Contratacao de empresa para aquisicao de toner MLT D203U, para utilizacao na impressora Samsung Proxpress M4070FR, para atender ao Conselho Tutelar do municipio de Jeronimo Monteiro, para o exercicio de 2019.;Dispensa, Artigo 24, Inciso II;Concluida;2384
000041/2019;Compra Direta;001921/2019;17/05/2019;Aquisicao de marmitex para serem fornecidas aos profissionais da Secretaria Municipal de Saude nas realizacoes das campanhas de vacinacao a serem realizadas no exercicio de 2019.;Dispensa, Artigo 24, Inciso II;Concluida;960
000040/2019;Compra Direta;001665/2019;16/05/2019;Aquisicao de fornecimento estimado de lanches e refrigerantes para atender os Policiais Militares que estarao a servico durante os festejos da XXVI Expoagro de Jeronimo Monteiro a ser realizada no periodo de 05 a 08 de setembro de 2019.;artigo 24, inciso II;Concluida;2660
000039/2019;Dispensa;001065/2019;29/03/2019;Aquisicao de pecas para reposicao no equipamento HP M521DN, gastas ou danificadas pela sua utilizacao, visto ser a unica para atendimento das atividades do Setor de Licitacoes da PMJM.;Dispensa, Artigo 24, Inciso II;Concluida;127
000039/2019;Compra Direta;006099/2018;15/05/2019;Contratacao de profissional de engenharia, na area de telecomunicacoes, para realizacao de requerimento junto a ANATEL - Agencia Nacional de Telecomunicacoes, solicitando canais de retransmissao de TV para esta Municipalidade.;Dispensa, Artigo 24, Inciso I;Concluida;14000
000038/2019;Dispensa;001064/2019;06/03/2019;Contratacao de empresa para manutencao de ar condicionado, em carater emergencial, tendo em vista ser unico no Setor de Licitacoes, e necessitar de tal manutencao para evitar sua total paralizacao.;Dispensa, Artigo 24, Inciso II;Concluida;150
000038/2019;Compra Direta;001312/2019;14/05/2019;Contratacao de empresa especializada para prestacao de servicos de desinsetizacao, desratizacao, descupinizacao e higienizacao nas escolas da rede Municipal, Biblioteca Municipal e predio da Secretaria Municipal de Educacao.;Dispensa, Artigo 24, Inciso II;Concluida;1259
000037/2019;Compra Direta;000515/2019;02/04/2019;Contratacao de empresa para fornecimento de consultas medicas e servicos de fisioterapia,  em carater emergencial, para atendimento a pacientes deste Municipio, por periodo estimado em 2 meses.;artigo 24, inciso II;Concluida;17460
000037/2019;Dispensa;001019/2019;01/03/2019;Revisao programada de 10.000km do veiculo Ford KA SE 1.0, placa PPW-4302, pertencente a Secretaria de Assistencia Social, conforme periodo de garantia de fabrica do automovel.;Dispensa, Artigo 24, Inciso XVII;Concluida;714,8
000036/2019;Compra Direta;000555/2019;29/03/2019;Aquisicao de fraldas descartaveis de tamanhos diversos, em carater emergencial, para reposicao do estoque da Secretaria de Saude, garantindo assim a manutencao dos servicos regidos pela Lei 8080/90, destinado aos pacientes acamados e /ou portadores de deficiencia fisica do municipio.;Dispensa, Artigo 24, Inciso II;Concluida;5586,74
000034/2019;Dispensa;000723/2019;26/02/2019;Aquisicao de toldos (fixo e movel) a serem instalados no CMEI Diva Saviatto Duarte, em substituicao aos ja existentes, considerando que estes foram danificados pelo tempo, perdendo assim sua funcao.;Dispensa, Artigo 24, Inciso II;Concluida;4005
000033/2019;Dispensa;005348/2018;12/03/2019;Contratacao de empresa especializada para realizacao de servicos de plotagem e instalacao de pelicula automotiva nos veiculos pertencentes a esta Municipalidade, visando melhorar a identificacao e protecao dos mesmos.;Dispensa, Artigo 24, Inciso II;Concluida;6818,5
000032/2019;Dispensa;000556/2019;26/02/2019;Contratacao de empresa para prestacao de servico de revisao de 30.000 km com troca de pecas, no veiculo Chevrolet Spin 1.8 LTZ, ano 2018, placa PPL-4125, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;1085
000031/2019;Dispensa;000500/2019;26/02/2019;Aquisicao de generos alimenticios de  forma emergencial (itens fracassados/desertos em licitacoes realizadas anteriormente) para atendimento as escolas da Rede Municipal de Ensino e Secretaria de Assistencia Social, e suas dependencias.;Dispensa, Artigo 24, Inciso V;Concluida;3452,06
000031/2019;Compra Direta;000375/2019;18/03/2019;Aquisicao de elemento filtrante para reposicao nas Unidades Basicas de Saude, objetivando sua manutencao, considerando o aumento expressivo de consumo de agua no periodo do verao.;artigo 24, inciso II;Concluida;775,2
000030/2019;Compra Direta;000608/2019;19/02/2019;Adesao a Ata de Registro de Precos n°07-2018 oriunda do Pregao Eletronico n°19-2017 do FNDE-MEC, objetivando a aquisicao de veiculo de transporte escolar diario de estudantes, denominado de Onibus Rural Escolar (ORE), em atendimento as entidades educacionais das redes publicas de ensino nos Estados, Distrito Federal e Municipios.     Empresa: MAN LATIN AMERICA INDUSTRIA E COMERCIO DE VEICULOS LTDA.;Dispensa, Artigo 24, Inciso II;Concluida;228912
000025/2019;Dispensa;000405/2019;05/02/2019;Aquisicao de peca (unidade fusora) para subtituicao em impressora HP M521DN, pertencente a Secretaria de Saude, por virtude de defeito apresentado na mesma.;Dispensa, Artigo 24, Inciso II;Concluida;1185
000021/2019;Dispensa;000364/2019;04/02/2019;Revisao programada de 10.000km no veiculo Renault Logan EXP 1.6 SCE, placa PPP-8603, pertencente a Secretaria de Fazenda, seguindo as recomendacoes do manual do fabricante do veiculo.;Dispensa, Artigo 24, Inciso XVII;Concluida;668,41
000020/2019;Dispensa;005790/2018;12/02/2019;Contratacao de empresa para realizacao de servicos de inspecao nos veiculos destinados ao transporte escolar para o exercicio de 2019.;artigo 24, inciso II;Concluida;11488
000019/2019;Dispensa;000253/2019;06/02/2019;Locacao de Portico de largada e Backdrop a ser instalado no municipio de Jeronimo Monteiro e prestacao de servicos de cronometragem eletronica por virtude da realizacao da ULTRAMARATONA RSRUNNERS, que acontecera no dia 26 de maio de 2019.;Dispensa, Artigo 24, Inciso II;Concluida;4900
000018/2019;Dispensa;000300/2019;03/02/2019;Revisao programada de 90.000km de veiculo Chevrolet Spin placa PPL-4129, conforme manual e termo de garantia do referido veiculo.;Dispensa, Artigo 24, Inciso XVII;Concluida;1495
000017/2019;Dispensa;000301/2019;03/02/2019;Revisao de 90.000km de veiculo Chevrolet Spin placa PPL-4128, conforme manual e termo de garantia do referido veiculo.;Dispensa, Artigo 24, Inciso XVII;Concluida;1495
000014/2019;Dispensa;000327/2019;30/01/2019;Contratacao de empresa para prestacao servico, objetivando reparo em geladeira comercial na creche CMEI Sonho de viver, tendo em vista a necessidade de conservacao dos alimentos garantindo o padrao de qualidade aos atendidos daquela Unidade de Ensino.;Dispensa, Artigo 24, Inciso II;Concluida;850
000012/2019;Dispensa;000262/2019;06/02/2019;Locacao de separador de Publico, em virtude da realizacao dos eventos do municipio de Jeronimo Monteiro no ano de 2019.;Dispensa, Artigo 24, Inciso II;Concluida;10812
000011/2019;Dispensa;005959/2018;22/01/2019;Contratacao de empresa para realizacao de servico de capotaria em carater emergencial, para manutencao dos veiculos da Secretaria Municipal de Educacao.;Dispensa, Artigo 24, Inciso II;Concluida;4550
000010/2019;Dispensa;000151/2019;22/01/2019;Contratacao de empresa para prestacao de servico de revisao com troca de pecas, na retro escavadeira JCB 3 CX 4x4 T CF, ano 2018, pertencente a Secretaria Municipal de Desenvolvimento Rural Sustentavel.;Dispensa, Artigo 24, Inciso XVII;Concluida;5347,35
000009/2019;Dispensa;004792/2018;22/01/2019;Aquisicao de caixas de agua a serem servidos aos participantes da ULTRAMARATONA RSRUNNERS, que acontecera no dia 25 de maio de 2019,  no municipio e Jeronimo Monteiro.;Dispensa, Artigo 24, Inciso II;Concluida;1720
000005/2019;Dispensa;005909/2018;16/01/2019;Revisao programada de 80.000km de veiculo Chevrolet Spin placa PPL-4128, conforme manual e termo de garantia do referido veiculo.;Dispensa, Artigo 24, Inciso XVII;Concluida;1425
000004/2019;Dispensa;005908/2018;16/01/2019;Revisao programada de 80.000km de veiculo Chevrolet Spin placa PPL-4129, conforme manual e termo de garantia do referido veiculo.;Dispensa, Artigo 24, Inciso XVII;Concluida;1425
000002/2019;Inexigibilidade;005883/2018;09/01/2019;Locacao de imovel comercial para atendimento a demanda e acomodacao da Agencia Nosso Credito - Banestes S/A, considerando que esta municipalidade nao possui local que atenda a demanda devido a localizacao  do imovel em questao, que por sua vez se encontra privilegiadamente ao lado da referida Agencia Bancaria;Inixigibilidadae, Artigo 25, Inciso I;Concluida;7383
000001/2019;Compra Direta;005922/2018;24/01/2019;Contratacao de servicos de divulgacao em carro de som, bem como gravacao do informativo ou propaganda para divulgacao das acoes desenvolvidas pelas Secretarias Municipais e seus respectivos Setores pelo periodo de 12 meses:;Dispensa, Artigo 24, Inciso II;Concluida;11050
000001/2019;Dispensa;000058/2019;05/02/2019;Aquisicao de onibus escolar rural para atendimento ao transporte escolar de alunos deste Municipio, em regime compartilhado, em substituicao aos veiculos leiloados, atraves de adesao como carona a ata de registro de preco nº08-18, do FNDE, oriundo do Pregao Eletronico nº19-2017-FNDE-MEC.;Dispensa, Artigo 24, Inciso II;Concluida;543000
110117/2017;Dispensa;005020/2017;27/12/2017;Contratacao de empresa para ministrar curso completo de CPA-10, para 15 servidores efetivos desta Prefeitura, objetivando a preparacao para a prova. A contratacao se faz necessaria tendo em vista o decreto n°4135-2014 que dispoe sobre a criacao do comite de investimento em obediencia a portaria MPS N°519-2011 e que determina que os membros deste orgao para os institutos com mais de R$6.000.000,00 (SEIS MILHOES) em aplicacoes, possuam a certificacao CPA-10 oferecida pela AMBIMA.;Dispensa, Artigo 24, Inciso II;Concluida;7500
100267/2018;Dispensa;005138/2018;21/11/2018;Revisao programada, conforme termo de garantia de 70.000 km do veiculo Chevrolet Spin, placa PPL-4129, pertencente a esta Secretaria.;Dispensa, Artigo 24, Inciso XVII;Concluida;1210
100267/2018;Compra Direta;006010/2018;26/12/2018;Contratacao emergencial de estimada de 1000 km de translado para atender as familias carentes do Municipio, considerando encerramento do contrato e a abertura de nova licitacao esta prevista para o dia  09-01-2019.;Dispensa, Artigo 24, Inciso II;Concluida;1520
100266/2018;Compra Direta;004631/2018;04/11/2018;Adesao a Ata de registro de precos n°009-2018, resultante do pregao eletronico n° 032/2018 da Secretaria de Estado da Saude, do Estado do Tocantins, onde o objeto da referida licitacao visa a aquisicao de veiculos tipo Ambulancias simples remocao.;artigo 24, inciso II;Concluida;79250
100256/2018;Dispensa;005953/2018;25/12/2018;Contrato emergencial de combustivel gasolina comum e diesel S10, para que nao ocorra interrupcao nos servicos de transporte de pacientes do Municipio.;Dispensa, Artigo 24, Inciso IV;Concluida;29040
100251/2018;Inexigibilidade;005730/2018;25/12/2018;Contratacao de empresa especializada em fornecimento de passagens intermunicipais de acordo com a Lei Municipal 1.488/13, art.8º para atendimento as familias de adolescentes que estao cumprindo medidas socioeducativas privativas de liberdade, que estao em acompanhamento familiar no CREAS e apresentam vulnerabilidade economica, para atendimento no decorrer do ano de 2019;Inixigibilidadae, Artigo 25, Inciso I;Concluida;1065
100241/2018;Dispensa;005139/2018;21/11/2018;Revisao programada, conforme termo de garantia de 70.000 km do veiculo Chevrolet Spin, placa PPL-4128, pertencente a esta Secretaria.;Dispensa, Artigo 24, Inciso XVII;Concluida;1210
100233/2018;Dispensa;005177/2018;18/11/2018;Contratacao de empresa especializada para informatizacao do processo seletivo objetivando a contratacao em regime de designacao temporaria de profissionais do magisterio habilitados e nao habilitados para compor o cadastro de reserva tecnica para o abo letivo de 2019.;Dispensa, Artigo 24, Inciso II;Concluida;3500
100232/2018;Dispensa;005178/2018;13/11/2018;Aquisicao de material de construcao para reparo no telhado do CMEI Diva Saviatto Duarte danificado por conta das fortes chuvas e ventos ocorridos no Municipio. Acostado ao processo fotografias do espaco a ser reparado, relatorio de itens, descricao do ocorrido emitido pelo engenheiro e relatorio de vistoria elaborado pelo responsavel do setor de Defesa Civil, ambos desta Prefeitura Municipal.;artigo 24, inciso II;Concluida;2773,4
100224/2018;Dispensa;004899/2018;08/11/2018;Contratacao de empresa para realizacao de servicos de plotagem de projetos de arquitetura e engenharia.;Dispensa, Artigo 24, Inciso II;Concluida;2841
100217/2018;Dispensa;004573/2018;02/10/2018;Contratacao de show musical e artistico com o grupo musical Curtisom, para apresentacao nas festividades do dia das criancas, no dia 12 de outubro de 2018 na Praca da Biblia em Jeronimo Monteiro.;Inexigibilidade;Concluida;1600
100210/2018;Compra Direta;003813/2018;03/10/2018;Aquisicao de rocadeiras para  utilizacao da Secretaria Municipal de Desenvolvimento Rural Sustentavel, em trabalho a serem realizados objetivando a manutencao das laterais das estradas vicinais do municipio de Jeronimo Monteiro.;Dispensa, Artigo 24, Inciso II;Concluida;6591
100209/2018;Compra Direta;002946/2018;02/10/2018;Aquisicao de 30 latoes de plastico de 200 litros para que seja feita a melhor acomodacao dos lixos domesticos facilitando assim a coleta do mesmo.;Dispensa, Artigo 24, Inciso II;Concluida;2400
100208/2018;Compra Direta;004319/2018;20/09/2018;Adesao a Ata de Registro de Precos 306/2017 do Governo do Estado de Minas Gerais, atraves da Secretaria de Estado de Planejamento e Gestao, onde o objeto visa a Aquisicao de Ambulancias e Veiculos de Servico. O objetivo da referida adesao, e adquirir uma Van 0Km para atender as necessidades do Fundo Municipal de Saude.;artigo 24, inciso II;Concluida;157489
100206/2018;Dispensa;004393/2018;19/09/2018;Contratacao de empresa para prestacao de servico de revisao de 20.000 km com troca de pecas, no veiculo Renault Logan  Expression 1.6, ano 2018, placa PPP-8610, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;1164,41
100204/2018;Dispensa;004245/2018;10/09/2018;Contratacao de empresa para prestacao de servico de revisao de 40.000 km com troca de pecas, no veiculo Renault Sandero Expression 1.6, ano 2017, placa PPL-4127, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;1339
100203/2018;Dispensa;004244/2018;10/09/2018;Contratacao de empresa para prestacao de servico de revisao de 30.000 km com troca de pecas, no veiculo Renault Logan Expression 1.6, ano 2018, placa PPP-8611, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;1150,41
100201/2018;Dispensa;003897/2018;03/09/2018;Contratacao de empresa para prestacao de servico de revisao de 20.000 km com troca de pecas, no veiculo Chevrolet Spin 1.8 LTZ, ano 2018, placa PPL-4126, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;1020
100200/2018;Dispensa;003898/2018;03/09/2018;Contratacao de empresa para prestacao de servico de revisao de 20.000 km com troca de pecas, no veiculo Chevrolet Spin 1.8 LTZ, ano 2018, placa PPL-4125, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;1020
100199/2018;Dispensa;003896/2018;03/09/2018;Contratacao de empresa para prestacao de servico de revisao de 60.000 km com troca de pecas, no veiculo Chevrolet Spin 1.8 LTZ, ano-modelo: 2017/ 2018, placa PPL-4128, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;1595
100198/2018;Dispensa;003894/2018;03/09/2018;Contratacao de empresa para prestacao de servico de revisao de 60.000 km com troca de pecas, no veiculo Chevrolet Spin 1.8 LTZ, ano-modelo: 2017/ 2018, placa PPL-4129, pertencente ao Fundo Municipal de Saude.;Dispensa, Artigo 24, Inciso XVII;Concluida;1595
100193/2018;Dispensa;003814/2018;24/08/2018;Contratacao da empresa, objetivando a prestacao de servicos de revisao programada de 20.000 km, com troca de pecas, no veiculo Renault Logan, ano 2018, placa PPP-8611, pertecente ao Fundo Municipal de Saude, em conformidade com o manual do veiculo.;Dispensa, Artigo 24, Inciso XVII;Concluida;1389,99
100193/2018;Inexigibilidade;003902/2018;27/08/2018;Contratacao de show musical e artistico com Leandro Andrade e Banda, para apresentacao no dia 31-08-2018, nas festividades da IX Arraial da Felicidade das Escolas Municipais, a ser realizada entre os dias 31-08-2018 a 01-09-2018, no parque de exposicoes Lourival Lougon Moulin.;Inixigibilidadae, Artigo 25, Inciso III;Concluida;3000
100190/2018;Compra Direta;001203/2018;27/08/2018;Aquisicao de cadeira giratorias, atraves de adesao da Ata de Registro de Precos 034-2017, gerenciada pela Universidade Federal do Espirito Santo, por virtude de alguns itens terem sido fracassados no Pregao Presencial n° 76-2017.;Dispensa, Artigo 24, Inciso II;Concluida;36597
100185/2018;Compra Direta;003569/2018;15/11/2018;Aquisicao de relogio de ponto para registro de servidores da Secretaria de Assistencia Social e demais dependencias.;artigo 24, inciso II;Concluida;20327,67
100181/2018;Dispensa;003713/2018;31/07/2018;Revisao programada de 50.000km, em conformidade com o manual do veiculo Toyota Corolla XEI 2.0, placa PPO-0072, chassi:9BRBD3HEXJ0357419.;Dispensa, Artigo 24, Inciso XVII;Concluida;2657,18
100180/2018;Inexigibilidade;003744/2018;20/08/2018;Contratacao de show musical e artistico com o grupo musical Curtisom, para apresentacao nas festividades da IX Arraial da Felicidade das Escolas Municipais, no periodo de 31-08 a 01-09 no parque de exposicoes Lourival Lougon Moulin.;Inixigibilidadae, Artigo 25, Inciso I;Concluida;1600
100180/2018;Compra Direta;004069/2018;27/08/2018;Aquisicao de moveis escolares, por meio de Adesao a Ata de Registro de Precos, a serem adiquiridos para as escolas municipais, atraves de licitacao realizada pelo FNDE, atraves do Pregao Eletronico nº10/2017/FNDE/MEC - Orgao Participante de Compra Nacional Solicitacao SIGARP nº 77364 -Transferencia Direta.;Dispensa, Artigo 24, Inciso I;Concluida;64600
100179/2018;Compra Direta;003665/2018;20/08/2018;Contratacao de empresa para prestacao de seguro em veiculo Citroen Aircross StartMT placa OYK-7796, pertencente a esta Secretaria, recebido por intermedio do Ministerio dos Direitos Humanos, considerando Termo de doacao N°25853-2018. Informamos que o Municipio foi contemplado com o recebimento do veiculo apos a realizacao da licitacao para contratacao do servico de seguro de veiculos.;Dispensa, Artigo 24, Inciso II;Concluida;1550
100178/2018;Compra Direta;003515/2018;07/08/2018;Aquisicao de empresa para prestacao de servico, sendo, troca de almofadas e borrachas para carimbos a serem reaproveitados na Secretaria Municipal de Gestao de Compras e Licitacoes.;Dispensa, Artigo 24, Inciso II;Concluida;284
100177/2018;Compra Direta;003677/2018;06/08/2018;Adesao a Ata de Registro de Precos n°44-2017, da Secretaria de Estado da Agricultura, Abastecimento, Aquicultura e Pesca, para aquisicao de uma Retroescavadeira Hidraulica nova, tracao 4x4, cabine fechada com ar condicionado. Contrato de repasse n° 844117 (Operacao n° 1041979-04), conta 647186-1 (Caixa Economica Federal), no valor de R$172.146,97 de repasse do Ministerio da Agricultura e R$8.789,03 de contrapartida.;Dispensa, Artigo 24, Inciso II;Concluida;180936
100176/2018;Dispensa;003319/2018;26/07/2018;Revisao programada de 50.000km em veiculo Chevrolet Spin placa PPL-4129, em conformidade com o manual do fabricante do veiculo.;Dispensa, Artigo 24, Inciso XVII;Concluida;1495
100174/2018;Dispensa;003318/2018;17/07/2018;Revisao programada de 50.000km em veiculo Chevrolet Spin placa PPL-4128, em conformidade com o manual do fabricante do veiculo.;Dispensa, Artigo 24, Inciso XVII;Concluida;1495
100173/2018;Dispensa;003317/2018;17/07/2018;Revisao programada de 10.000km em veiculo Chevrolet Spin placa PPL-4126, em conformidade com o manual do fabricante do veiculo.;Dispensa, Artigo 24, Inciso XVII;Concluida;870
100172/2018;Dispensa;003316/2018;17/07/2018;Revisao programada de 10.000km em veiculo Chevrolet Spin placa PPL-4125, em conformidade com o manual do fabricante do veiculo.;Dispensa, Artigo 24, Inciso XVII;Concluida;870
100153/2018;Dispensa;002568/2018;05/06/2018;Aquisicao de medicamento para cumprimento da Decisao Judicial do processo de n° 0000446-24.2017.8.08.0029, ajuizada pela Senhora Maria Vasques Lopes Moreira em prol da paciente Maria da Penha Vasques Lopes em face do Estado do Espirito Santo e do Municipio de Jeronimo Monteiro.;Dispensa, Artigo 24, Inciso II;Concluida;119,7
100149/2018;Dispensa;002730/2018;30/05/2018;Contratacao de empresa especializada na locacao de paineis publicitarios (telao) a serem instalados no parque de exposicoes em virtude da realizacao da XXV Expoagro de Jeronimo Monteiro a ser realizada entre os dias 31-05 a 03-06 no parque de exposicoes Lourival Lougon Moulin.;Dispensa, Artigo 24, Inciso II;Concluida;7500
100148/2018;Dispensa;002729/2018;30/05/2018;Contratacao de empresa especializada na prestacao de servicos de producao e editoracao de video institucional apresentando o potencial turistico sdo Municipio de Jeronimo Monteiro, para divulgacao durante as festividades da XXV Expoagro de Jeronimo Monteiro, a ser realizada entre os dias 31-05 a 03-06, no parque de exposicoes Lourival Lougon Moulin.;Dispensa, Artigo 24, Inciso II;Concluida;1500
100145/2018;Dispensa;002540/2018;24/05/2018;Contratacao de profissionais de beleza/cuidado com a pele e corpo, especializado em diversas areas, para participacao em acao comunitaria destinada as familias de baixa renda, deste municipio, promovendo o empoderamento destas, atraves da autoestima e da conscientizacao de seus direitos, fortalecendo a qualidade de vida familiar. Os eventos serao realizados no CRAS, nos dias 28-05 e 08-08-2018, de 8 as 15 horas, com intervalo para almoco de 60 minutos, com publico estimado em 100 pessoas por evento. Andressa Bernardo Alves (Manicure e pedicure).;Dispensa, Artigo 24, Inciso V;Concluida;120
100144/2018;Dispensa;002540/2018;24/05/2018;Contratacao de profissionais de beleza/cuidado com a pele e corpo, especializado em diversas areas, para participacao em acao comunitaria destinada as familias de baixa renda, deste municipio, promovendo o empoderamento destas, atraves da autoestima e da conscientizacao de seus direitos, fortalecendo a qualidade de vida familiar. Os eventos serao realizados no CRAS, nos dias 28-05 e 08-08-2018, de 8 as 15 horas, com intervalo para almoco de 60 minutos, com publico estimado em 100 pessoas por evento. Juliana da Silva (Manicure e pedicure).;Dispensa, Artigo 24, Inciso V;Concluida;120
100143/2018;Dispensa;002540/2018;24/05/2018;Contratacao de profissionais de beleza/cuidado com a pele e corpo, especializado em diversas areas, para participacao em acao comunitaria destinada as familias de baixa renda, deste municipio, promovendo o empoderamento destas, atraves da autoestima e da conscientizacao de seus direitos, fortalecendo a qualidade de vida familiar. Os eventos serao realizados no CRAS, nos dias 28-05 e 08-08-2018, de 8 as 15 horas, com intervalo para almoco de 60 minutos, com publico estimado em 100 pessoas por evento. Larissa Lima Angelo Ponticelli (Manicure e pedicure).;Dispensa, Artigo 24, Inciso V;Concluida;240
100142/2018;Dispensa;002540/2018;24/05/2018;Contratacao de profissionais de beleza/cuidado com a pele e corpo, especializado em diversas areas, para participacao em acao comunitaria destinada as familias de baixa renda, deste municipio, promovendo o empoderamento destas, atraves da autoestima e da conscientizacao de seus direitos, fortalecendo a qualidade de vida familiar. Os eventos serao realizados no CRAS, nos dias 28-05 e 08-08-2018, de 8 as 15 horas, com intervalo para almoco de 60 minutos, com publico estimado em 100 pessoas por evento. Bruna de Assis Mendonca Goncalves 1333270472 (Manicure e pedicure).;Dispensa, Artigo 24, Inciso V;Concluida;240
100141/2018;Dispensa;002540/2018;24/05/2018;Contratacao de profissionais de beleza/cuidado com a pele e corpo, especializado em diversas areas, para participacao em acao comunitaria destinada as familias de baixa renda, deste municipio, promovendo o empoderamento destas, atraves da autoestima e da conscientizacao de seus direitos, fortalecendo a qualidade de vida familiar. Os eventos serao realizados no CRAS, nos dias 28-05 e 08-08-2018, de 8 as 15 horas, com intervalo para almoco de 60 minutos, com publico estimado em 100 pessoas por evento. Marcia Salino de Lima 13262958700 (Manicure e pedicure).;Dispensa, Artigo 24, Inciso V;Concluida;240
100140/2018;Dispensa;002540/2018;24/05/2018;Contratacao de profissionais de beleza/cuidado com a pele e corpo, especializado em diversas areas, para participacao em acao comunitaria destinada as familias de baixa renda, deste municipio, promovendo o empoderamento destas, atraves da autoestima e da conscientizacao de seus direitos, fortalecendo a qualidade de vida familiar. Os eventos serao realizados no CRAS, nos dias 28-05 e 08-08-2018, de 8 as 15 horas, com intervalo para almoco de 60 minutos, com publico estimado em 100 pessoas por evento. Renan de Oliveira Andrade (Barbeiro);Dispensa, Artigo 24, Inciso V;Concluida;120
100139/2018;Dispensa;002540/2018;24/05/2018;Contratacao de profissionais de beleza/cuidado com a pele e corpo, especializado em diversas areas, para participacao em acao comunitaria destinada as familias de baixa renda, deste municipio, promovendo o empoderamento destas, atraves da autoestima e da conscientizacao de seus direitos, fortalecendo a qualidade de vida familiar. Os eventos serao realizados no CRAS, nos dias 28-05 e 08-08-2018, de 8 as 15 horas, com intervalo para almoco de 60 minutos, com publico estimado em 100 pessoas por evento. Cassio Paiva Quinto Bittler (Barbeiro).;Dispensa, Artigo 24, Inciso V;Concluida;120
